bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1980376,1602127,2025-09-13,Assembly,"AB 1479 Tangipa Concurrence in Senate Amendments",70,1,0,9,80
1980379,1561051,2025-04-29,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",17,0,0,1,18
1980380,1554509,2025-04-22,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",6,2,0,1,9
1980382,1566731,2025-05-05,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",7,0,0,0,7
1980382,1577940,2025-05-23,Assembly,"Do pass",14,0,0,1,15
1980382,1584397,2025-06-03,Assembly,"AB 1485 Macedo Assembly Third Reading",77,0,0,2,79
1980382,1598037,2025-07-09,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",5,0,0,0,5
1980382,1599561,2025-08-18,Senate,"Placed on suspense file",7,0,0,0,7
1980382,1600606,2025-08-29,Senate,"Do pass as amended",7,0,0,0,7
1980382,1601987,2025-09-11,Senate,"Special Consent AB1485 Macedo et al. By Rubio",40,0,0,0,40
1980383,1528276,2025-03-26,Assembly,"Do pass as amended and be re-referred to the Committee on [Natural Resources]",8,0,0,0,8
1980383,1558715,2025-04-21,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",14,0,0,0,14
1980384,1556019,2025-04-22,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",12,3,0,1,16
1980384,1577386,2025-05-23,Assembly,"Do pass",11,3,0,1,15
1980384,1583587,2025-06-02,Assembly,"AB 1487 Addis Assembly Third Reading",59,15,0,5,79
1980384,1597433,2025-07-02,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",9,2,0,0,11
1980384,1599410,2025-08-18,Senate,"Placed on suspense file",7,0,0,0,7
1980384,1600269,2025-08-29,Senate,"Do pass",5,2,0,0,7
1980384,1601632,2025-09-09,Senate,"Assembly 3rd Reading AB1487 Addis et al. By Menjivar",30,10,0,0,40
1980384,1602444,2025-09-11,Assembly,"AB 1487 Addis Concurrence in Senate Amendments",59,15,0,6,80
1980386,1563114,2025-04-29,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",5,1,0,3,9
1980390,1564187,2025-04-30,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",4,1,0,4,9
1980390,1564188,2025-04-30,Assembly,Reconsideration,9,0,0,0,9
1980392,1562887,2025-04-29,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",16,0,0,0,16
1980392,1577848,2025-05-23,Assembly,"Do pass",14,0,0,1,15
1980392,1584382,2025-06-03,Assembly,"AB 1495 Valencia Assembly Third Reading",79,0,0,0,79
1980392,1598081,2025-07-09,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations] with the recommendation: To Consent Calendar",11,0,0,0,11
1980392,1600028,2025-08-25,Senate,"Consent Calendar 2nd AB1495 Valencia",37,0,0,3,40
1980393,1540850,2025-04-08,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",17,0,0,1,18
1980393,1556066,2025-04-23,Assembly,"Do pass. To Consent Calendar",15,0,0,0,15
1980393,1564164,2025-05-01,Assembly,"AB 1496 Blanca Rubio Consent Calendar Second Day Regular Session",76,0,0,3,79
1980397,1540974,2025-04-08,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",12,1,0,2,15
1980399,1525444,2025-03-24,Assembly,"Be adopted. To Consent Calendar",11,0,0,0,11
1980399,1530397,2025-03-28,Assembly,"ACR 39 Ramos Consent Calendar Second Day",62,0,0,18,80
1980399,1557531,2025-04-24,Senate,"Special Consent ACR39 Ramos et al",37,0,0,3,40
1980399,1568593,2025-05-08,Assembly,"ACR 39 Ramos Concurrence in Senate Amendments",73,0,0,6,79
1980400,1521951,2025-03-18,Assembly,"Be adopted. To third reading",6,1,0,3,10
1980400,1595165,2025-06-25,Senate,"Be adopted. Ordered to third reading",7,0,0,0,7
1980401,1511418,2025-03-10,Assembly,"Be adopted. To third reading",9,0,0,2,11
1980402,1554605,2025-04-22,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",5,1,0,0,6
1980402,1565291,2025-05-05,Senate,"Placed on suspense file",7,0,0,0,7
1980402,1577872,2025-05-23,Senate,"Do pass as amended",5,1,0,1,7
1980402,1584319,2025-06-03,Senate,"Senate 3rd Reading SB672 Rubio et al",24,11,0,5,40
1980403,1556098,2025-04-22,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations] with the recommendation: To Consent Calendar",13,0,0,0,13
1980403,1568606,2025-05-08,Senate,"Consent Calendar 2nd SB673 Ochoa Bogh et al",36,0,0,4,40
1980403,1591906,2025-06-17,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",11,0,0,1,12
1980403,1597516,2025-07-02,Assembly,"Do pass. To Consent Calendar",14,0,0,1,15
1980403,1598166,2025-07-10,Assembly,"SB 673 Ochoa Bogh Consent Calendar Second Day Regular Session",72,0,0,7,79
1980404,1556096,2025-04-23,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",8,0,0,0,8
1980404,1565363,2025-05-05,Senate,"Placed on suspense file",7,0,0,0,7
1980404,1577314,2025-05-23,Senate,"Do pass",6,0,0,1,7
1980404,1580542,2025-05-28,Senate,"Senate 3rd Reading SB674 Cabaldon et al",38,0,0,2,40
1980404,1597738,2025-07-07,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",13,0,0,1,14
1980405,1556138,2025-04-23,Senate,"Do pass, but first be re-referred to the Committee on [Rules]",8,0,0,0,8
1980405,1562913,2025-04-30,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",7,0,0,0,7
1980405,1573550,2025-05-19,Senate,"Placed on suspense file",5,0,0,2,7
1980405,1577922,2025-05-23,Senate,"Do pass as amended",5,0,0,2,7
1980405,1585083,2025-06-04,Senate,"Senate 3rd Reading SB675 Padilla",39,0,0,1,40
1980406,1536777,2025-04-02,Senate,"Do pass, but first be re-referred to the Committee on [Rules]",8,0,0,0,8
1980406,1556145,2025-04-22,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations] with the recommendation: To Consent Calendar",13,0,0,0,13
1980406,1565257,2025-05-05,Senate,"Placed on suspense file",7,0,0,0,7
1980406,1577192,2025-05-23,Senate,"Do pass",6,0,0,1,7
1980406,1584405,2025-06-03,Senate,"Senate 3rd Reading SB676 Limón et al",39,0,0,1,40
1980406,1597726,2025-07-07,Assembly,"Do pass as amended and be re-referred to the Committee on [Judiciary]",12,0,0,2,14
1980406,1598427,2025-07-15,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",12,0,0,0,12
1980406,1600541,2025-08-29,Assembly,"Do pass as amended",11,0,0,4,15
1980406,1601393,2025-09-08,Assembly,"SB 676 Limón Senate Third Reading By Bennett",79,0,0,1,80
1980406,1601565,2025-09-09,Senate,"Unfinished Business SB676 Limón et al. Concurrence",40,0,0,0,40
1980407,1556139,2025-04-22,Senate,"Do pass, but first be re-referred to the Committee on [Local Government]",4,3,0,4,11
1980407,1556140,2025-04-22,Senate,"[First] hearing set for [04-23-2025]: Failed passage in Committee. Reconsideration granted",11,0,0,0,11
1980408,1555899,2025-04-22,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations] with the recommendation: To Consent Calendar",13,0,0,0,13
1980408,1565360,2025-05-05,Senate,"Placed on suspense file",7,0,0,0,7
1980409,1552959,2025-04-21,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Judiciary]",8,0,0,3,11
1980409,1563015,2025-04-29,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",12,0,0,1,13
1980409,1569841,2025-05-12,Senate,"Placed on suspense file",7,0,0,0,7
1980410,1540855,2025-04-08,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",4,1,0,1,6
1980410,1552840,2025-04-21,Senate,"Placed on suspense file",6,0,0,1,7
1980410,1577436,2025-05-23,Senate,"Do pass as amended",6,0,0,1,7
1980410,1585097,2025-06-04,Senate,"Senate 3rd Reading SB680 Rubio",37,1,0,2,40
1980410,1598669,2025-07-15,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",9,0,0,0,9
1980410,1600610,2025-08-29,Assembly,"Do pass",15,0,0,0,15
1980410,1601156,2025-09-04,Assembly,"SB 680 Rubio Senate Third Reading By Krell",72,0,0,7,79
1980411,1556055,2025-04-22,Senate,"Do pass, but first be re-referred to the Committee on [Rules]",8,2,0,1,11
1980411,1562911,2025-04-29,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",11,2,0,0,13
1980411,1573549,2025-05-19,Senate,"Placed on suspense file",5,0,0,2,7
1980411,1577834,2025-05-23,Senate,"Do pass as amended",5,1,0,1,7
1980411,1585070,2025-06-04,Senate,"Senate 3rd Reading SB681 Wahab et al",28,10,0,2,40
1980412,1536817,2025-04-02,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Health]",5,3,0,0,8
1980412,1564297,2025-04-30,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",7,2,0,2,11
1980412,1573569,2025-05-19,Senate,"Placed on suspense file",5,0,0,2,7
1980412,1577670,2025-05-23,Senate,"Do pass as amended",5,1,0,1,7
1980412,1584299,2025-06-03,Senate,"Senate 3rd Reading SB682 Allen",28,7,0,5,40
1980412,1598613,2025-07-15,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",5,2,0,0,7
1980412,1600602,2025-08-29,Assembly,"Do pass as amended",9,3,0,3,15
1980412,1602044,2025-09-12,Senate,"Unfinished Business SB682 Allen Concurrence",30,5,0,5,40
1980412,1602045,2025-09-12,Assembly,"SB 682 Allen Senate Third Reading By Connolly",45,21,0,14,80
1980412,1602946,2025-09-13,Senate,"Unfinished Business SB682 Allen Concurrence",30,5,0,5,40
1980413,1542758,2025-04-08,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",13,0,0,0,13
1980413,1559379,2025-04-28,Senate,"Placed on suspense file",7,0,0,0,7
1980413,1577579,2025-05-23,Senate,"Do pass",6,0,0,1,7
1980413,1580491,2025-05-28,Senate,"Senate 3rd Reading SB683 Cortese",38,0,0,2,40
1980413,1591844,2025-06-17,Assembly,"Do pass as amended and be re-referred to the Committee on [Privacy and Consumer Protection]",11,0,0,1,12
1980413,1594625,2025-06-24,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",14,0,0,1,15
1980413,1597527,2025-07-02,Assembly,"Do pass",14,0,0,1,15
1980413,1601988,2025-09-11,Senate,"Unfinished Business SB683 Cortese Concurrence",39,0,0,1,40
1980413,1602467,2025-09-10,Assembly,"SB 683 Cortese Senate Third Reading By Bauer-Kahan",76,0,0,4,80
1980414,1536802,2025-04-02,Senate,"Do pass, but first be re-referred to the Committee on [Judiciary]",5,3,0,0,8
1980415,1542779,2025-04-09,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",6,0,0,1,7
1980415,1559395,2025-04-28,Senate,"Placed on suspense file",7,0,0,0,7
1980415,1577397,2025-05-23,Senate,"Do pass",6,0,0,1,7
1980415,1580492,2025-05-28,Senate,"Senate 3rd Reading SB685 Cortese",36,0,0,4,40
1980415,1594601,2025-06-24,Assembly,"Do pass as amended and be re-referred to the Committee on [Education]",8,0,0,2,10
1980416,1533511,2025-04-01,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations] with the recommendation: To Consent Calendar",11,0,0,0,11
1980416,1552884,2025-04-21,Senate,"Placed on suspense file",6,0,0,1,7
1980416,1577270,2025-05-23,Senate,"Do pass",6,0,0,1,7
1980416,1581776,2025-05-29,Senate,"Special Consent SB686 Reyes et al",38,0,0,2,40
1980416,1598675,2025-07-16,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",12,0,0,0,12
1980416,1599770,2025-08-20,Assembly,"Do pass. To Consent Calendar",15,0,0,0,15
1980416,1600216,2025-08-28,Assembly,"SB 686 Reyes Consent Calendar Second Day Regular Session",74,0,0,5,79
1980416,1601940,2025-09-11,Senate,"Special Consent SB686 Reyes et al",40,0,0,0,40
1980418,1526994,2025-03-25,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",13,0,0,2,15
1980418,1538898,2025-04-07,Senate,"Placed on suspense file",7,0,0,0,7
1980420,1562868,2025-04-29,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",6,0,0,0,6
1980420,1573538,2025-05-19,Senate,"Placed on suspense file",5,0,0,2,7
1980420,1577634,2025-05-23,Senate,"Do pass as amended",6,0,0,1,7
1980420,1584256,2025-06-03,Senate,"Senate 3rd Reading SB690 Caballero et al",35,0,0,5,40
1980420,1597189,2025-07-01,Assembly,"Do pass and be re-referred to the Committee on [Privacy and Consumer Protection]",9,0,0,0,9
1980421,1562879,2025-04-29,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",6,0,0,0,6
1980421,1569822,2025-05-12,Senate,"Placed on suspense file",7,0,0,0,7
1980422,1554573,2025-04-22,Senate,"Do pass, but first be re-referred to the Committee on [Housing]",6,0,0,0,6
1980422,1565272,2025-05-05,Senate,"Placed on suspense file",7,0,0,0,7
1980422,1577951,2025-05-23,Senate,"Do pass as amended",6,0,0,1,7
1980422,1584429,2025-06-03,Senate,"Senate 3rd Reading SB692 Arreguín et al",38,0,0,2,40
1980422,1597222,2025-07-01,Assembly,"Do pass as amended and be re-referred to the Committee on [Transportation]",9,0,0,0,9
1980422,1598388,2025-07-14,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",16,0,0,0,16
1980423,1563090,2025-04-30,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations] with the recommendation: To Consent Calendar",5,0,0,0,5
1980423,1572458,2025-05-15,Senate,"Consent Calendar 2nd SB693 Cortese",34,0,0,6,40
1980423,1595673,2025-06-25,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",7,0,0,0,7
